experiment,lead,rmse_m,bias_m,debiased_rmse_m,acc,vorticity_acc
CTRL,12h,80.81134584775558,60.293112995155035,53.807194157278175,0.9734621867976258,0.331583060172489
CTRL,24h,546.9999779607955,497.51977265098134,227.3390677169823,0.5153295781787166,0.2253591013625242
DIFF,12h,54.15407131598774,21.02924811176444,49.904249958805494,0.9732436106787872,0.28583579188454716
DIFF,24h,193.71884754035213,173.11834434328492,86.93118395720849,0.9183723163102312,0.10056363664702153
DIFF_SPONGE,12h,53.11390045610252,21.238063437139314,48.68296501961249,0.9778713319815746,0.2804209575116087
DIFF_SPONGE,24h,103.53656101573112,54.862318438438265,87.80629523287956,0.9204989788319716,0.09625419038349801
PERSIST,12h,35.66226466565117,-1.1828851207387263,35.64264165117517,0.9863122338500435,0.5189038654107326
PERSIST,24h,65.28560280385545,-0.4210129912406873,65.28424527804535,0.9531996553375042,0.3653525065542353
SPONGE,12h,67.44324753026703,44.73118751305658,50.474869995876574,0.97663997207498,0.3321922543994169
SPONGE,24h,193.2418004868433,160.69071222712736,107.33540170575357,0.856680785300142,0.22746711334160905
